"","CROP.WILD.RELATIVE","Crop","GENEPOOL","GRAFTSTOCK","TRAIT","ONTOLOGY","BREEDING.TYPE","TaxonName","AccYear","ItemLocationName","IUCNRedList","IUCNRedListCode","LifeForm","NationalRedListCode","NationalRedList","RegionalRedList","RegionalRedListCode","Locality","MaterialType","AltitudeFrom","AltitudeTo","CoordLatDD","CoordLongDD","CountryName","ItemAccNoRef","ContactNameFull","TaxonNameFull","ItemAccNoFull","Cultivar","AccNoCons","CollNo","DetType","ProvenanceCode","ItemNo","AtrA_Variant","Collector","ItemConsNo","ItemStatusDate","ItemStatusCode","ItemType","AccNoFull","CollName","AccNo","CollNo.1","CollCode","Genus","ItemLocationRef","ItemSpecCount","SpecCount","variant"
"11","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",2016,"Rainforest - Northmost central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.03","","","bjs.2016-0060","","W",3,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","",""
"12","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",2016,"Middle east bed adjacent to Ropes Course","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.10","","","bjs.2016-0060","","W",10,"","Stormes, Ben",NA,"2020-02-27","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","",""
"13","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",2016,"Rainforest - Northmost central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.01","","","bjs.2016-0060","","W",1,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","",""
"14","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",2016,"Middle central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.04","","","bjs.2016-0060","","W",4,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","",""
"15","Abies amabilis","Fir",NA,NA,NA,NA,NA,"Abies amabilis",2016,"Rainforest - Northmost central wooded bed","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Chilliwack River Valley, Chipmunk Creek Service Road","seed",770,NA,49.203055,-121.863333,"Canada","","Stormes, Ben","Abies amabilis Douglas ex J.Forbes","2016-0356.02","","","bjs.2016-0060","","W",2,"","Stormes, Ben",NA,"2019-10-31","P","Planting","2016-0356","UBC Botanical Garden",356,"bjs.2016-0060","UBC","Abies","","1","",""
"16","Abies balsamea","Fir",NA,NA,NA,NA,NA,"Abies balsamea",2011,"Tradescant","Least concern","LC","Tree","","","","","need data","seed",NA,NA,NA,NA,"Canada","","Montreal Botanic Garden, Montreal, PQ, Canada","Abies balsamea (L.) Mill.","2011-0524.04","","40803/0-0063-2011","","","W",4,"","",NA,"2020-02-04","O","Planting","2011-0524","UBC Botanical Garden",524,"","UBC","Abies","","1","7",""
"17","Abies balsamea","Fir",NA,NA,NA,NA,NA,"Abies balsamea",2017,"Bed 3 Bulb Frame (Alpine Garden)","Least concern","LC","Tree","","","","","","plant",NA,NA,NA,NA,"","","Glenn Patterson, 4761 Pilot House, West Vancouver, BC, Canada","Abies balsamea (L.) Mill.","2017-0046.01","","","","cf.","G",1,"","",NA,"2020-06-17","O","Planting","2017-0046","UBC Botanical Garden",46,"","UBC","Abies","","1","1",""
"18","Abies balsamea","Fir",NA,NA,NA,NA,NA,"Abies balsamea 'Nana'",1987,"Bed 3 North America (Alpine Garden)","","","Shrub","","","","","","plant",NA,NA,NA,NA,"","1987-0067.01","Adera Nurseries","Abies balsamea (L.) Mill. 'Nana'","1987-0067.03","'Nana'","25461/0-0526-1987","","","G",3,"","",NA,"2019-06-27","O","Planting","1987-0067","UBC Botanical Garden",67,"","UBC","Abies","Section 3","1","3","Nana'"
"19","Abies balsamea","Fir",NA,NA,NA,NA,NA,"Abies balsamea 'Nana'",1987,"Bed 1 North America (Alpine Garden)","","","Shrub","","","","","","plant",NA,NA,NA,NA,"","1987-0067.01","Adera Nurseries","Abies balsamea (L.) Mill. 'Nana'","1987-0067.02","'Nana'","25461/0-0526-1987","","","G",2,"","",NA,"2018-08-10","O","Planting","1987-0067","UBC Botanical Garden",67,"","UBC","Abies","Section 2","1","3","Nana'"
"20","Abies balsamea","Fir",NA,NA,NA,NA,NA,"Abies balsamea",2011,"Bannister","Least concern","LC","Tree","","","","","need data","seed",NA,NA,NA,NA,"Canada","2011-0524.01","Montreal Botanic Garden, Montreal, PQ, Canada","Abies balsamea (L.) Mill.","2011-0524.03","","40803/0-0063-2011","","","W",3,"","",NA,"2019-07-26","O","Planting","2011-0524","UBC Botanical Garden",524,"","UBC","Abies","","1","7",""
"21","Abies balsamea","Fir",NA,NA,NA,NA,NA,"Abies balsamea",2011,"Bannister","Least concern","LC","Tree","","","","","need data","seed",NA,NA,NA,NA,"Canada","","Montreal Botanic Garden, Montreal, PQ, Canada","Abies balsamea (L.) Mill.","2011-0524.01","","40803/0-0063-2011","","","W",1,"","",NA,"2019-07-26","O","Planting","2011-0524","UBC Botanical Garden",524,"","UBC","Abies","","1","7",""
"22","Abies balsamea","Fir",NA,NA,NA,NA,NA,"Abies balsamea 'Nana'",1987,"Bed 3 North America (Alpine Garden)","","","Shrub","","","","","","plant",NA,NA,NA,NA,"","","Adera Nurseries","Abies balsamea (L.) Mill. 'Nana'","1987-0067.01","'Nana'","25461/0-0526-1987","","","G",1,"","",NA,"2019-06-24","O","Planting","1987-0067","UBC Botanical Garden",67,"","UBC","Abies","Section 2","1","3","Nana'"
"23","Abies balsamea","Fir",NA,NA,NA,NA,NA,"Abies balsamea",2011,"Bannister","Least concern","LC","Tree","","","","","need data","seed",NA,NA,NA,NA,"Canada","2011-0524.01","Montreal Botanic Garden, Montreal, PQ, Canada","Abies balsamea (L.) Mill.","2011-0524.02","","40803/0-0063-2011","","","W",2,"","",NA,"2019-07-26","O","Planting","2011-0524","UBC Botanical Garden",524,"","UBC","Abies","","1","7",""
"24","Abies grandis","Fir",NA,NA,NA,NA,NA,"Abies grandis",2003,"Upper large bed between stadium and path","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","","unknown",NA,NA,NA,NA,"","","2003 Lost accession number, given new number","Abies grandis (Douglas ex D.Don) Lindl.","2003-0296.01","","37021/0-1003-2003","","","U",1,"","",NA,"2020-11-20","O","Planting","2003-0296","UBC Botanical Garden",296,"","UBC","Abies","","1","1",""
"25","Abies grandis","Fir",NA,NA,NA,NA,NA,"Abies grandis",2004,"Upper large bed between stadium and path","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","","unknown",NA,NA,NA,NA,"","","2003 Lost accession number, given new number","Abies grandis (Douglas ex D.Don) Lindl.","2004-0115.01","","37147/0-1003-2004","","","U",1,"","",NA,"2008-08-11","P","Planting","2004-0115","UBC Botanical Garden",115,"","UBC","Abies","","1","1",""
"26","Abies grandis","Fir",NA,NA,NA,NA,NA,"Abies grandis",2017,"Nursery","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Neville Nye Memorial Cypress Grove, Flounce Rock at the end of Forest Road 32-2E-34D off Ulrich Road from Crater Lake Hwy, Cascade Gorge","seed",1255,NA,42.732528,-122.605444,"United States of America","2017-0412.87","UBC Botanical Garden Field Collections, Vancouver, BC, Canada","Abies grandis (Douglas ex D.Don) Lindl.","2017-0412.86","","","EHOC42","","W",86,"","McCheyne, Neil; David Gray & Andrew Jamieson",NA,"2021-01-26","PRO","Planting","2017-0412","UBC Botanical Garden",412,"EHOC42","UBC","Abies","","2","many",""
"27","Abies grandis","Fir",NA,NA,NA,NA,NA,"Abies grandis",1975,"Upper large bed between stadium and path","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","Hope Slide, east of slide,  in gravel pit north side of road by big rock at east end of meadows","plant",610,NA,49.383333,-121.383333,"Canada","","Rose, Allan A.","Abies grandis (Douglas ex D.Don) Lindl.","1975-0757.01","","12486/0-0284-1975","AAR.75919","","W",1,"","Rose, Allan A.",NA,"2007-12-14","B","Planting","1975-0757","UBC Botanical Garden",757,"AAR.75919","UBC","Abies","","1","1",""
"28","Abies grandis","Fir",NA,NA,NA,NA,NA,"Abies grandis",2004,"Upper large bed between stadium and path","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","","unknown",NA,NA,NA,NA,"","","2003 Lost accession number, given new number","Abies grandis (Douglas ex D.Don) Lindl.","2004-0116.01","","37148/0-1003-2004","","","U",1,"","",NA,"2008-08-11","P","Planting","2004-0116","UBC Botanical Garden",116,"","UBC","Abies","","1","1",""
"29","Abies grandis","Fir",NA,NA,NA,NA,NA,"Abies grandis",2003,"Upper large bed between stadium and path","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","","unknown",NA,NA,NA,NA,"","2003-0280.02","2003 Lost accession number, given new number","Abies grandis (Douglas ex D.Don) Lindl.","2003-0280.01","","37005/0-1003-2003","","","U",1,"","",NA,"2008-08-11","P","Planting","2003-0280","UBC Botanical Garden",280,"","UBC","Abies","","1","3",""
"30","Abies grandis","Fir",NA,NA,NA,NA,NA,"Abies grandis",1975,"Rainforest - Southeast most bed adjacent to Ropes Course","Least concern","LC","Tree","","","Yellow-listed British Columbia","YW","UBC Endowment Lands","plant",38,NA,49.266667,-122.166667,"Canada","","Rose, Allan A.","Abies grandis (Douglas ex D.Don) Lindl.","1975-0077.01","","11204/0-0284-1975","AAR.75017","","W",1,"","Rose, Allan A.",NA,"1975-01-01","P","Planting","1975-0077","UBC Botanical Garden",77,"AAR.75017","UBC","Abies","","1","1",""
"31","Abies lasiocarpa","Fir",NA,NA,NA,NA,NA,"Abies lasiocarpa",2011,"East Pinetum","Least concern","LC","Tree","","","","","Cranbrook East","seed",1725,NA,49.666667,-115.433333,"Canada","","BC Forest Services, ?Victoria, BC, Canada","Abies lasiocarpa Endl.","2011-0058.02","","40342/0-0332-2011","","","W",2,"","",NA,"2018-09-26","M","Planting","2011-0058","UBC Botanical Garden",58,"","UBC","Abies","","1","101",""
"32","Abies lasiocarpa","Fir",NA,NA,NA,NA,NA,"Abies lasiocarpa",2011,"East Pinetum","Least concern","LC","Tree","","","","","Cranbrook East","seed",1725,NA,49.666667,-115.433333,"Canada","","BC Forest Services, ?Victoria, BC, Canada","Abies lasiocarpa Endl.","2011-0058.01","","40342/0-0332-2011","","","W",1,"","",NA,"2018-09-26","M","Planting","2011-0058","UBC Botanical Garden",58,"","UBC","Abies","","1","101",""
"33","Abies lasiocarpa","Fir",NA,NA,NA,NA,NA,"Abies lasiocarpa var. lasiocarpa",1974,"Upper large bed between stadium and path","","","Tree","","","Yellow-listed British Columbia","YW","McBride,BC","plant",NA,NA,NA,NA,"Canada","","Dr. Warner Monroe, McBride, BC, Canada & Portland, OR, USA","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","1974-0422.01","","09102/0-0269-1974","","","W",1,"","Monroe, W.",NA,"2010-11-23","B","Planting","1974-0422","UBC Botanical Garden",422,"","UBC","Abies","","1","2","lasiocarpa"
"34","Abies lasiocarpa","Fir",NA,NA,NA,NA,NA,"Abies lasiocarpa var. lasiocarpa",1974,"Upper large bed between stadium and path","","","Tree","","","Yellow-listed British Columbia","YW","McBride,BC","plant",NA,NA,NA,NA,"Canada","","Dr. Warner Monroe, McBride, BC, Canada & Portland, OR, USA","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","1974-0422.02","","09102/0-0269-1974","","","W",2,"","Monroe, W.",NA,"2010-11-23","B","Planting","1974-0422","UBC Botanical Garden",422,"","UBC","Abies","","1","2","lasiocarpa"
"35","Abies lasiocarpa","Fir",NA,NA,NA,NA,NA,"Abies lasiocarpa",2011,"East Pinetum","Least concern","LC","Tree","","","","","Cranbrook East","seed",1725,NA,49.666667,-115.433333,"Canada","","BC Forest Services, ?Victoria, BC, Canada","Abies lasiocarpa Endl.","2011-0058.03","","40342/0-0332-2011","","","W",3,"","",NA,"2018-09-26","M","Planting","2011-0058","UBC Botanical Garden",58,"","UBC","Abies","","1","101",""
"36","Abies lasiocarpa","Fir",NA,NA,NA,NA,NA,"Abies lasiocarpa",2016,"Bed 4 North America (Alpine Garden)","Least concern","LC","Tree","","","","","Blackcomb Mountain, Whistler","seed",NA,NA,NA,NA,"Canada","","Caddy, Laura","Abies lasiocarpa Endl.","2016-0293.01","","","LJC.16-40","","W",1,"","Mosquin, Daniel",NA,"2020-09-09","O","Planting","2016-0293","UBC Botanical Garden",293,"LJC.16-40","UBC","Abies","Section 2","1","",""
"37","Abies lasiocarpa","Fir",NA,NA,NA,NA,NA,"Abies lasiocarpa var. arizonica 'Compacta'",2001,"Bed 4 North America (Alpine Garden)","","","Shrub","","","","","","plant",NA,NA,NA,NA,"","","Perennial Gardens, 13139 224th St, Maple Ridge, BC, V4R 2P6, 604-467-4218","Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon 'Compacta'","2001-0235.01","'Compacta'","35796/0-0613-2001","","","G",1,"","",NA,"2018-10-25","O","Planting","2001-0235","UBC Botanical Garden",235,"","UBC","Abies","Section 2","1","3","arizonica 'Compacta'"
"38","Abies lasiocarpa","Fir",NA,NA,NA,NA,NA,"Abies lasiocarpa",1973,"Bed 4 North America (Alpine Garden)","Least concern","LC","Tree","","","","","Nr.Revelstoke,BC","plant",NA,NA,NA,NA,"Canada","","Johnson Landscaping Co., Vancouver, BC, Canada","Abies lasiocarpa Endl.","1973-0736.03","","11705/0-5077-1973","","","W",3,"","",NA,"2018-10-25","O","Planting","1973-0736","UBC Botanical Garden",736,"","UBC","Abies","Section 1","1","3",""
"39","Abies lasiocarpa","Fir",NA,NA,NA,NA,NA,"Abies lasiocarpa",1973,"Bed 3 North America (Alpine Garden)","Least concern","LC","Tree","","","","","Nr.Revelstoke,BC","plant",NA,NA,NA,NA,"Canada","","Johnson Landscaping Co., Vancouver, BC, Canada","Abies lasiocarpa Endl.","1973-0736.01","","11705/0-5077-1973","","","W",1,"","",NA,"2019-06-18","O","Planting","1973-0736","UBC Botanical Garden",736,"","UBC","Abies","Section 1","1","3",""
"40","Abies lasiocarpa","Fir",NA,NA,NA,NA,NA,"Abies lasiocarpa",2016,"Nursery","Least concern","LC","Tree","","","","","Blackcomb Mountain, Whistler","seed",NA,NA,NA,NA,"Canada","","Caddy, Laura","Abies lasiocarpa Endl.","2016-0293.88","","","LJC.16-40","","W",88,"","Mosquin, Daniel",NA,"2020-07-29","PRO","Planting","2016-0293","UBC Botanical Garden",293,"LJC.16-40","UBC","Abies","","2","",""
"41","Abies lasiocarpa","Fir",NA,NA,NA,NA,NA,"Abies lasiocarpa",1973,"Bed 4 North America (Alpine Garden)","Least concern","LC","Tree","","","","","Nr.Revelstoke,BC","plant",NA,NA,NA,NA,"Canada","","Johnson Landscaping Co., Vancouver, BC, Canada","Abies lasiocarpa Endl.","1973-0736.02","","11705/0-5077-1973","","","W",2,"","",NA,"2018-10-25","O","Planting","1973-0736","UBC Botanical Garden",736,"","UBC","Abies","Section 2","1","3",""
"42","Acer glabrum","Maple",NA,NA,NA,NA,NA,"Acer glabrum var. glabrum",2008,"Pacific Slope Woodland","","","Tree","","","","","Siskiyou Mts., Fiddler Mt., FSR 4201","seed",1074,NA,NA,NA,"United States of America","","Hine, Brent Allyn","Acer glabrum Torr. var. glabrum","2008-0176.01","","39032/0-0620-2008","BAH.07-030S","","W",1,"","Hine, Brent",NA,"2019-01-17","O","Planting","2008-0176","UBC Botanical Garden",176,"BAH.07-030S","UBC","Acer","","1","101","glabrum"
"43","Acer glabrum","Maple",NA,NA,NA,NA,NA,"Acer glabrum var. douglasii",2015,"Eastmost bed along fenceline bordering 16th Avenue","","","Shrub","","","Yellow-listed British Columbia","YW","Pemberton, Rutherford FSR, sw of Pemberton","seed",220,NA,50.267092,-122.879315,"Canada","","Mosquin, Daniel Patrick Kenneth","Acer glabrum Torr. var. douglasii (Hook.) Dippel","2015-0465.01","","","DM.2015-013SD","","W",1,"","Mosquin, Daniel",NA,"2016-09-30","P","Planting","2015-0465","UBC Botanical Garden",465,"DM.2015-013SD","UBC","Acer","","1","","douglasii"
"44","Acer glabrum","Maple",NA,NA,NA,NA,NA,"Acer glabrum var. glabrum",2008,"Pacific Slope Woodland","","","Tree","","","","","Siskiyou Mts., Fiddler Mt., FSR 4201","seed",1074,NA,NA,NA,"United States of America","2008-0176.01","Hine, Brent Allyn","Acer glabrum Torr. var. glabrum","2008-0176.02","","39032/0-0620-2008","BAH.07-030S","","W",2,"","Hine, Brent",NA,"2019-07-15","O","Planting","2008-0176","UBC Botanical Garden",176,"BAH.07-030S","UBC","Acer","","1","101","glabrum"
"45","Acer glabrum","Maple",NA,NA,NA,NA,NA,"Acer glabrum var. neomexicanum",2002,"Bed 3 Cactus House (Alpine Garden)","","","Tree","","","","","","plant",2400,NA,NA,NA,"United States of America","","VanDusen Botanical Garden, Vancouver, BC, Canada","Acer glabrum Torr. var. neomexicanum (Greene) Kearney & Peebles","2002-0473.01","","36924/0-0240-2002","DJ.017","","W",1,"","Justice, Douglas",NA,"2020-09-03","O","Planting","2002-0473","UBC Botanical Garden",473,"DJ.017","UBC","Acer","","1","5","neomexicanum"
"46","Acer glabrum","Maple",NA,NA,NA,NA,NA,"Acer glabrum var. glabrum",2002,"Nursery Permanent Plantings","","","Tree","","","","","","plant",1900,NA,NA,NA,"United States of America","","VanDusen Botanical Garden, Vancouver, BC, Canada","Acer glabrum Torr. var. glabrum","2002-0472.03","","36922/0-0240-2002","DJ.005","","W",3,"","Justice, Douglas",NA,"2013-01-30","P","Planting","2002-0472","UBC Botanical Garden",472,"DJ.005","UBC","Acer","","2","3","glabrum"
"47","Acer glabrum","Maple",NA,NA,NA,NA,NA,"Acer glabrum var. glabrum",2004,"Rainforest - Northmost central wooded bed","","","Tree","","","","","Shawnee (adjacent to hwy 285)","plant",NA,NA,NA,NA,"United States of America","","VanDusen Botanical Garden, Vancouver, BC, Canada","Acer glabrum Torr. var. glabrum","2004-0148.01","","37180/0-0240-2004","DJ.006","","W",1,"","Justice, Douglas",NA,"2016-05-01","O","Planting","2004-0148","UBC Botanical Garden",148,"DJ.006","UBC","Acer","","1","1","glabrum"
"48","Acer glabrum","Maple",NA,NA,NA,NA,NA,"Acer glabrum var. neomexicanum",2002,"Bed 2 Trough Courtyard (Alpine Garden)","","","Tree","","","","","","plant",2700,NA,NA,NA,"United States of America","","VanDusen Botanical Garden, Vancouver, BC, Canada","Acer glabrum Torr. var. neomexicanum (Greene) Kearney & Peebles","2002-0474.01","","36925/0-0240-2002","DJ.013","","W",1,"","Justice, Douglas",NA,"2020-06-11","O","Planting","2002-0474","UBC Botanical Garden",474,"DJ.013","UBC","Acer","Section 2","1","1","neomexicanum"
"49","Acer glabrum","Maple",NA,NA,NA,NA,NA,"Acer glabrum var. douglasii",1975,"Entrance sign bed, northeast of access road","","","Shrub","","","Yellow-listed British Columbia","YW","Osoyoos","plant",NA,NA,NA,NA,"Canada","","Rose, Allan A.","Acer glabrum Torr. var. douglasii (Hook.) Dippel","1975-0759.01","","12488/0-0284-1975","AAR.75885","","W",1,"","Rose, Allan A.",NA,"2018-03-07","O","Planting","1975-0759","UBC Botanical Garden",759,"AAR.75885","UBC","Acer","","1","1","douglasii"
"50","Acer glabrum","Maple",NA,NA,NA,NA,NA,"Acer glabrum var. glabrum",2002,"Service Yard, Main Garden","","","Tree","","","","","","plant",1900,NA,NA,NA,"United States of America","","VanDusen Botanical Garden, Vancouver, BC, Canada","Acer glabrum Torr. var. glabrum","2002-0475.02","","36926/0-0240-2002","DJ.023","","W",2,"","Justice, Douglas",NA,"2019-05-16","O","Planting","2002-0475","UBC Botanical Garden",475,"DJ.023","UBC","Acer","","1","3","glabrum"
"51","Acer glabrum","Maple",NA,NA,NA,NA,NA,"Acer glabrum var. douglasii",2015,"Southmost central wooded bed","","","Shrub","","","Yellow-listed British Columbia","YW","Pemberton, Rutherford FSR, sw of Pemberton","seed",220,NA,50.267092,-122.879315,"Canada","","Mosquin, Daniel Patrick Kenneth","Acer glabrum Torr. var. douglasii (Hook.) Dippel","2015-0465.04","","","DM.2015-013SD","","W",4,"","Mosquin, Daniel",NA,"2016-09-30","P","Planting","2015-0465","UBC Botanical Garden",465,"DM.2015-013SD","UBC","Acer","","1","","douglasii"
"52","Acer glabrum","Maple",NA,NA,NA,NA,NA,"Acer glabrum var. glabrum",2008,"Pacific Slope Woodland","","","Tree","","","","","Siskiyou Mts., Fiddler Mt., FSR 4201","seed",1074,NA,NA,NA,"United States of America","2008-0176.01","Hine, Brent Allyn","Acer glabrum Torr. var. glabrum","2008-0176.03","","39032/0-0620-2008","BAH.07-030S","","W",3,"","Hine, Brent",NA,"2019-07-15","O","Planting","2008-0176","UBC Botanical Garden",176,"BAH.07-030S","UBC","Acer","","1","101","glabrum"
