"","CROP.WILD.RELATIVE","Crop","GENEPOOL","GRAFTSTOCK","TRAIT","ONTOLOGY","BREEDING.TYPE","X..COLLECTION","TAXON","RECD_AS","W.wild.source.z.cultivated.source.but.of.known.wild.origin","PSOURCE_ORIGINAL","COLLECTION_INFORMATION","How.Received","Location.code","Qté","ID.verified","VERI_BY","VERI_DT","FAMILY","variant"
"1","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2012-2001*D","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-PES","12"," "," "," ","Pinaceae",""
"2","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2012-2001*C","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-ERB","3"," "," "," ","Pinaceae",""
"3","Abies balsamea","Fir",NA,NA,NA,NA,NA,"1553-64-1979*D","Abies balsamea 'Nana'","Abies balsamea 'Nana'","G","1857-50 Abies balsamea nana greffés sur 1286-63 A. balsamea"," ","CT","JALP-1","1"," "," "," ","Pinaceae","Nana'"
"4","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2012-2001*F","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-ERB","3"," "," "," ","Pinaceae",""
"5","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2012-2001*B","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-ERC","4"," "," "," ","Pinaceae",""
"6","Abies balsamea","Fir",NA,NA,NA,NA,NA,"38-2011*A","Abies balsamea 'Tyler Blue'","Abies balsamea 'Tyler Blue'","G","Au Jardin de Jean-Pierre enr., Qc"," ","PT","JFRU-ROC","1"," "," "," ","Pinaceae","Tyler Blue'"
"7","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2012-2001*A","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-ARB","6"," "," "," ","Pinaceae",""
"8","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2315-2000*A","Abies balsamea","Abies balsamea","W","Viola, Stefano","Canada: Québec: Durham-sud, cté de Drummond. s.n. 25 May 2000.","PT","JPRE-PES","4"," "," "," ","Pinaceae",""
"9","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2012-2001*I","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-ALP","1"," "," "," ","Pinaceae",""
"10","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2012-2001*E","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-ARB","1"," "," "," ","Pinaceae",""
"11","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2012-2001*H","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-PES","16"," "," "," ","Pinaceae",""
"12","Abies balsamea","Fir",NA,NA,NA,NA,NA,"1553-64-2011*A","Abies balsamea 'Nana'","Abies balsamea 'Nana'","G","1857-50 Abies balsamea nana greffés sur 1286-63 A. balsamea"," ","CT","JFRU-10B","2"," "," "," ","Pinaceae","Nana'"
"13","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2012-2001*G","Abies balsamea","Abies balsamea","G","Alain Cuerrier, botaniste  JBM"," ","PT","JPRE-ALP","1"," "," "," ","Pinaceae",""
"14","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2328-2001*B","Abies balsamea","Abies balsamea","W","Alain Cuerrier (botaniste)","Canada: Québec: St-Jérôme.","PT","JPRE-ERB","1"," "," "," ","Pinaceae",""
"15","Abies balsamea","Fir",NA,NA,NA,NA,NA,"1553-64-1979*B","Abies balsamea 'Nana'","Abies balsamea 'Nana'","G","1857-50 Abies balsamea nana greffés sur 1286-63 A. balsamea"," ","CT","JFRU-ROC","1"," "," "," ","Pinaceae","Nana'"
"16","Abies balsamea","Fir",NA,NA,NA,NA,NA,"1417-2008*A","Abies balsamea 'Albospicata'","Abies balsamea 'Albospicata'","G","Iseli Nursery"," ","PT","JFRU-08A","1"," "," "," ","Pinaceae","Albospicata'"
"17","Abies balsamea","Fir",NA,NA,NA,NA,NA,"2328-2001*A","Abies balsamea","Abies balsamea","W","Alain Cuerrier (botaniste)","Canada: Québec: St-Jérôme.","PT","JPRE-PES","3"," "," "," ","Pinaceae",""
"18","Abies balsamea","Fir",NA,NA,NA,NA,NA,"527-2005*A","Abies balsamea","Abies balsamea","W","Carrière, D., Qc","Canada: Québec: Parc du Mont Tremblant. s.n. 1 Jul 2004.","PT","JALP-1","1"," "," "," ","Pinaceae",""
"19","Abies balsamea","Fir",NA,NA,NA,NA,NA,"1758-51-1984*B","Abies balsamea 'Hudsonia'","Abies balsamea 'Hudsonia'","G","H.A. Hesse, Weener, Allemagne"," ","PT","JALP-1","2"," "," "," ","Pinaceae","Hudsonia'"
"20","Abies balsamea","Fir",NA,NA,NA,NA,NA,"1758-51-1984*C","Abies balsamea 'Hudsonia'","Abies balsamea 'Hudsonia'","G","H.A. Hesse, Weener, Allemagne"," ","PT","JALP-R","2"," "," "," ","Pinaceae","Hudsonia'"
"21","Abies lasiocarpa","Fir",NA,NA,NA,NA,NA,"1021-2000*A","Abies lasiocarpa 'Argentea'","Abies lasiocarpa 'Argentea'","G","Les Plantons A. et P. Inc."," ","PT","JFRU-08B","3"," "," "," ","Pinaceae","Argentea'"
"22","Abies lasiocarpa","Fir",NA,NA,NA,NA,NA,"2883-1983*A","Abies lasiocarpa var. arizonica 'Compacta'","Abies lasiocarpa 'Compacta'","G","John Vermeulen & Son Inc., Neshanic Station, N.J., USA"," ","PT","JALP-Z","1"," "," "," ","Pinaceae","arizonica 'Compacta'"
"23","Abies lasiocarpa","Fir",NA,NA,NA,NA,NA,"2321-2004*A","Abies lasiocarpa 'Mulligan's Dwarf'","Abies lasiocarpa 'Mulligan's Dwarf'","G","Wrightman Alpines "," ","PT","JFRU-08C","1"," "," "," ","Pinaceae","Mulligan's Dwarf'"
"24","Abies lasiocarpa","Fir",NA,NA,NA,NA,NA,"2473-2004*A","Abies lasiocarpa var. arizonica 'Compacta'","Abies lasiocarpa 'Compacta'","G","Hortico Inc."," ","PT","JFRU-ROC","2"," "," "," ","Pinaceae","arizonica 'Compacta'"
"25","Acer glabrum","Maple",NA,NA,NA,NA,NA,"638-2013*B","Acer glabrum var. douglasii","Acer glabrum var. douglasii","Z","Tharandt BGTU, Germany","United States: Klahhane Ridge, Olympic - NP. 1000 m. Herr H. Kunze s.n. 2 Oct 1999.","SD","JFRU-21","2"," "," "," ","Sapindaceae","douglasii"
"26","Acer glabrum","Maple",NA,NA,NA,NA,NA,"638-2013*A","Acer glabrum var. douglasii","Acer glabrum var. douglasii","Z","Tharandt BGTU, Germany","United States: Klahhane Ridge, Olympic - NP. 1000 m. Herr H. Kunze s.n. 2 Oct 1999.","SD","JFRU-20","3"," "," "," ","Sapindaceae","douglasii"
"27","Acer macrophyllum","Maple",NA,NA,NA,NA,NA,"1351-2012*A","Acer macrophyllum","Acer macrophyllum","G","Fraser's Thimble Farm, BC"," ","PT","JFRU-10B","1"," "," "," ","Sapindaceae",""
"28","Acer nigrum","Maple",NA,NA,NA,NA,NA,"1330-2015*A","Acer nigrum","Acer nigrum","W","Viola, Stefano","Canada: Québec: Mirabel. 75 m. 45°10'24.68""N, 73°59'40.19""W. Frédéric Coursol et Stefano Viola s.n. 21 May 2015.","PT","JPRE-ERS","1"," "," "," ","Sapindaceae",""
"29","Acer nigrum","Maple",NA,NA,NA,NA,NA,"1015-1996*C","Acer nigrum","Acer saccharum ssp. nigrum","G","Marc Meloche, Pl. indigènes"," ","PT","JCHI-H","1"," "," "," ","Sapindaceae",""
"30","Acer nigrum","Maple",NA,NA,NA,NA,NA,"2117-2001*B","Acer nigrum","Acer saccharum ssp. nigrum","W","Alain Cuerrier, botaniste  JBM","Canada: Québec: Buckingham.","PT","JPRE-ALP","1"," "," "," ","Sapindaceae",""
"31","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"684-1999*A","Acer pensylvanicum 'Dr Bump'","Acer pensylvanicum 'Dr Bump'","G","Arborvillage Farm Nursery, MO, US"," ","PT","JFRU-13NOR","1"," "," "," ","Sapindaceae","Dr Bump'"
"32","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"2752-1994*B","Acer pensylvanicum","Acer pensylvanicum","G","Existant au Coin du Québec, sans numéro d'enregistrement"," ","PT","JQUE-4","1"," "," "," ","Sapindaceae",""
"33","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"2118-2006*B","Acer pensylvanicum","Acer pensylvanicum","G","Pépinière Vert Forêt, Saint-Jude (Qc)"," ","PT","JPRE-ERS","8"," "," "," ","Sapindaceae",""
"34","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"2752-1994*A","Acer pensylvanicum","Acer pensylvanicum","G","Existant au Coin du Québec, sans numéro d'enregistrement"," ","PT","JQUE-2","1"," "," "," ","Sapindaceae",""
"35","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"2745-85-1991*A","Acer pensylvanicum","Acer pensylvanicum","G","Hortico Inc. Waterdown, Ont."," ","PT","JFRU-06C","1"," "," "," ","Sapindaceae",""
"36","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"2745-1994*A","Acer pensylvanicum","Acer pensylvanicum","G","Existant au Coin du Québec, sans numéro d'enregistrement"," ","PT","JQUE-2","1"," "," "," ","Sapindaceae",""
"37","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"2019-2000*A","Acer pensylvanicum","Acer pensylvanicum","G","Pépinière Cramer, Québec"," ","PT","JPRE-ERS","2"," "," "," ","Sapindaceae",""
"38","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"1936-2000*A","Acer pensylvanicum","Acer pensylvanicum","W","Viola, Stefano","Canada: Québec: Terrebonne Co.: Terrebonne. Stefano Viola s.n. 25 May 2000.","PT","JPRE-PES","1"," "," "," ","Sapindaceae",""
"39","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"646-2014*B","Acer pensylvanicum","Acer pensylvanicum","W","JBM - Index Seminum no. 69 (2013)","Canada: Québec: MRC La Haute-Yamaska: Granby, Parc Bellevue. Forêt feuillue. 121 m. 45°24'20.71""N, 72°42'46.95""W. Fleury N. s.n. 29 Sep 2013.","SD","JPRE-ERS","5"," "," "," ","Sapindaceae",""
"40","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"2118-2006*A","Acer pensylvanicum","Acer pensylvanicum","G","Pépinière Vert Forêt, Saint-Jude (Qc)"," ","PT","JPRE-ERB","4"," "," "," ","Sapindaceae",""
"41","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"2749-1994*B","Acer pensylvanicum","Acer pensylvanicum","G","Existant au Coin du Québec, sans numéro d'enregistrement"," ","PT","JPRE-ERS","6"," "," "," ","Sapindaceae",""
"42","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"2019-2000*B","Acer pensylvanicum","Acer pensylvanicum","G","Pépinière Cramer, Québec"," ","PT","JPRE-ERS","2"," "," "," ","Sapindaceae",""
"43","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"1732-2018*A","Acer pensylvanicum","Acer pensylvanicum","W","Viola, Stefano","Canada: Laval. Forêt feuillue. 28 m. 45°32'38.98""N, 73°48'3.36""W. Coursol, F. s.n. 14 May 2018.","PT","JPRE-ERB","3"," "," "," ","Sapindaceae",""
"44","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"2118-2006*D","Acer pensylvanicum","Acer pensylvanicum","G","Pépinière Vert Forêt, Saint-Jude (Qc)"," ","PT","JPRE-ERS","30"," "," "," ","Sapindaceae",""
"45","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"1330-1995*A","Acer pensylvanicum","Acer pensylvanicum","G","Pépinières Sheridan, Dorion, Qc."," ","PT","JCHI-A","6"," "," "," ","Sapindaceae",""
"46","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"1284-2011*A","Acer pensylvanicum 'Erythrocladum'","Acer pensylvanicum 'Erythrocladum'","G","Broken Arrow Nursery, Hamden, CT 06518."," ","PT","JFRU-13NOR","1"," "," "," ","Sapindaceae","Erythrocladum'"
"47","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"2118-2006*C","Acer pensylvanicum","Acer pensylvanicum","G","Pépinière Vert Forêt, Saint-Jude (Qc)"," ","PT","JPRE-ERS","4"," "," "," ","Sapindaceae",""
"48","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"2745-1985*B","Acer pensylvanicum","Acer pensylvanicum","G","Hortico Inc. Waterdown, Ont."," ","PT","JSOU-A2","1"," "," "," ","Sapindaceae",""
"49","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"2007-2001*B","Acer pensylvanicum","Acer pensylvanicum","G","Pépinière Cramer, Québec"," ","PT","JPRE-PES","5"," "," "," ","Sapindaceae",""
"50","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"1857-2000*A","Acer pensylvanicum","Acer pensylvanicum","W","Viola, Stefano","Canada: Québec: Co. Rouville: Mont St-Hilaire, dév. du Boisé Ensoleillé. Stefano Viola s.n. 21 Jun 2000.","PT","JPRE-PES","1"," "," "," ","Sapindaceae",""
"51","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"2118-2001*A","Acer pensylvanicum","Acer pensylvanicum","W","Alain Cuerrier, botaniste  JBM","Canada: Québec: Buckingham.","PT","JPRE-ERB","1"," "," "," ","Sapindaceae",""
"52","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"2019-2000*D","Acer pensylvanicum","Acer pensylvanicum","G","Pépinière Cramer, Québec"," ","PT","JPRE-ERB","1"," "," "," ","Sapindaceae",""
"53","Acer pensylvanicum","Maple",NA,NA,NA,NA,NA,"1778-2018*A","Acer pensylvanicum","Acer pensylvanicum","G","Pépinière Villeneuve Enr., QC, CA"," ","PT","JCHI-A","18"," "," "," ","Sapindaceae",""
"54","Acer rubrum","Maple",NA,NA,NA,NA,NA,"2182-1998*B","Acer rubrum","Acer rubrum","G","Existants au Jardin Japonais et dans l'arboretum avant la création du JBM (voir obs.)"," ","PT","JJAP-A1","2","v","A. Cogliastro, S. Bailleul","10-Oct-19","Sapindaceae",""
"55","Acer rubrum","Maple",NA,NA,NA,NA,NA,"2105-2009*A","Acer rubrum","Acer rubrum","U","Existant au Coin du Québec, sans numéro d'enregistrement"," ","EX","JQUE-4","1"," "," "," ","Sapindaceae",""
"56","Acer rubrum","Maple",NA,NA,NA,NA,NA,"2913-1990*E","Acer rubrum","Acer rubrum","G","Pépinière Cramer, Québec"," ","PT","JCHI-J","2"," "," "," ","Sapindaceae",""
"57","Acer rubrum","Maple",NA,NA,NA,NA,NA,"2913-1990*A","Acer rubrum","Acer rubrum","G","Pépinière Cramer, Québec"," ","PT","JCHI-H","1"," "," "," ","Sapindaceae",""
"58","Acer rubrum","Maple",NA,NA,NA,NA,NA,"1331-1995*A","Acer rubrum","Acer rubrum","G","Pépinières Sheridan, Dorion, Qc."," ","PT","JCHI-H","10"," "," "," ","Sapindaceae",""
"59","Acer rubrum","Maple",NA,NA,NA,NA,NA,"2095-1988*G","Acer rubrum","Acer rubrum","G","Pépinière Cramer, Québec"," ","PT","JJAP-M1","2","(v)"," "," ","Sapindaceae",""
"60","Acer rubrum","Maple",NA,NA,NA,NA,NA,"2095-1988*D","Acer rubrum","Acer rubrum","G","Pépinière Cramer, Québec"," ","PT","JJAP-H3","6","(v)"," "," ","Sapindaceae",""
"61","Acer rubrum","Maple",NA,NA,NA,NA,NA,"2182-1998*A","Acer rubrum","Acer rubrum","G","Existants au Jardin Japonais et dans l'arboretum avant la création du JBM (voir obs.)"," ","PT","JJAP-A2","1","v","A. Cogliastro, S. Bailleul","10-Oct-19","Sapindaceae",""
"62","Acer rubrum","Maple",NA,NA,NA,NA,NA,"1805-2014*A","Acer rubrum 'Vanity'","Acer rubrum 'Vanity'","G","Forestfarm at Pacifica, OR"," ","PT","JFRU-16C","1"," "," "," ","Sapindaceae","Vanity'"
"63","Acer rubrum","Maple",NA,NA,NA,NA,NA,"2095-1988*C","Acer rubrum","Acer rubrum","G","Pépinière Cramer, Québec"," ","PT","JJAP-G2","1","(v)"," "," ","Sapindaceae",""
"64","Acer rubrum","Maple",NA,NA,NA,NA,NA,"2095-1988*B","Acer rubrum","Acer rubrum","G","Pépinière Cramer, Québec"," ","PT","JJAP-G1","1","(v)"," "," ","Sapindaceae",""
"65","Acer rubrum","Maple",NA,NA,NA,NA,NA,"1766-1995*A","Acer rubrum","Acer rubrum","G","Au Jardin de Jean-Pierre enr., Qc"," ","PT","JPRE-ERB","1"," "," "," ","Sapindaceae",""
"66","Acer rubrum","Maple",NA,NA,NA,NA,NA,"507-2009*A","Acer rubrum","Acer rubrum","G","Pépinière Brossard, Ville de Brossard, Québec."," ","PT","JCHI-I","12"," "," "," ","Sapindaceae",""
"67","Acer rubrum","Maple",NA,NA,NA,NA,NA,"490-2009*A","Acer rubrum","Acer rubrum","G","Semences récoltées sur Acer rubrum en 1992, arbre existant au jardin alpin, S.F, sans no. d'enreg."," ","PT","JCHI-A","27"," "," "," ","Sapindaceae",""
"68","Acer rubrum","Maple",NA,NA,NA,NA,NA,"2095-1988*F","Acer rubrum","Acer rubrum","G","Pépinière Cramer, Québec"," ","PT","JJAP-L3","1","(v)"," "," ","Sapindaceae",""
"69","Acer rubrum","Maple",NA,NA,NA,NA,NA,"1597-1989*A","Acer rubrum","Acer rubrum","G","Pépinière Brossard Inc. Brossard, Qc."," ","PT","JJAP-C4","1"," "," "," ","Sapindaceae",""
"70","Acer rubrum","Maple",NA,NA,NA,NA,NA,"494-2009*A","Acer rubrum","Acer rubrum","G","Plantations secondaires de l'Arboretum du Jardin Botanique de Mtl."," ","PT","JCHI-B","3"," "," "," ","Sapindaceae",""
"71","Acer rubrum","Maple",NA,NA,NA,NA,NA,"508-2009*A","Acer rubrum","Acer rubrum","G","Pépinière Brossard Inc. Ville de Brossard, Qc."," ","PT","JCHI-I","5"," "," "," ","Sapindaceae",""
"72","Acer rubrum","Maple",NA,NA,NA,NA,NA,"2095-1988*A","Acer rubrum","Acer rubrum","G","Pépinière Cramer, Québec"," ","PT","JJAP-A3","1","v","A. Cogliastro, S. Bailleul","10-Oct-19","Sapindaceae",""
"73","Acer saccharinum","Maple",NA,NA,NA,NA,NA,"1654-1956*A","Acer saccharinum","Acer saccharinum","G","Pépinière provinciale, Berthier, Qc"," ","PT","JALP-M","1"," "," "," ","Sapindaceae",""
"74","Acer saccharinum","Maple",NA,NA,NA,NA,NA,"2684-1995*A","Acer saccharinum","Acer saccharinum","W","Existant au JBM avant 1931","Canada: Québec: Montréal.","PT","JALP-T","1"," "," "," ","Sapindaceae",""
"75","Acer saccharum","Maple",NA,NA,NA,NA,NA,"2989-1990*B","Acer saccharum","Acer saccharum","G","Pépinière de Terrebonne"," "," ","JCHI-I","1"," "," "," ","Sapindaceae",""
"76","Acer saccharum","Maple",NA,NA,NA,NA,NA,"1909-2001*A","Acer saccharum","Acer saccharum","G","Production Terrebonne, Ville de Montréal."," ","PT","JPRE-ERB","1"," "," "," ","Sapindaceae",""
"77","Acer saccharum","Maple",NA,NA,NA,NA,NA,"2188-1998*F","Acer saccharum","Acer saccharum","G","Du JBM de provenance inconnue"," ","PT","JSOU-I1","2"," "," "," ","Sapindaceae",""
"78","Acer saccharum","Maple",NA,NA,NA,NA,NA,"1231-1991*A","Acer saccharum","Acer saccharum 'Legacy'","G","Pépinière Brossard, Ville de Brossard. Qc."," ","PT","JCHI-I","4"," "," "," ","Sapindaceae",""
"79","Acer saccharum","Maple",NA,NA,NA,NA,NA,"1232-1991*A","Acer saccharum 'Green Mountain'","Acer saccharum 'Green Mountain'","G","Pépinière Brossard, Ville de Brossard. Qc."," ","PT","JCHI-J","6"," "," "," ","Sapindaceae","Green Mountain'"
"80","Acer saccharum","Maple",NA,NA,NA,NA,NA,"930-1950*A","Acer saccharum","Acer saccharum","G","Herbst Gard., New York, N.Y."," ","SD","JALP-T","1"," "," "," ","Sapindaceae",""
"81","Acer saccharum","Maple",NA,NA,NA,NA,NA,"1095-2017*A","Acer saccharum","Acer rubrum","G","Pépinière Cramer, Québec"," ","PT","JJAP-J3","1"," "," "," ","Sapindaceae",""
"82","Acer saccharum","Maple",NA,NA,NA,NA,NA,"1842-2014*B","Acer saccharum 'Sugar Cone'","Acer saccharum 'Sugar Cone'","G","Pép. Québec Multiplants "," ","PT","JFRU-A","1"," "," "," ","Sapindaceae","Sugar Cone'"
"83","Acer saccharum","Maple",NA,NA,NA,NA,NA,"2119-2006*A","Acer saccharum","Acer saccharum","G","Pépinière Vert Forêt, Saint-Jude (Qc)"," ","PT","JPRE-ERB","12"," "," "," ","Sapindaceae",""
"84","Acer saccharum","Maple",NA,NA,NA,NA,NA,"2188-1998*B","Acer saccharum","Acer saccharum","G","Du JBM de provenance inconnue"," ","PT","JJAP-L1","1"," "," "," ","Sapindaceae",""
"85","Acer saccharum","Maple",NA,NA,NA,NA,NA,"2188-1998*D","Acer saccharum","Acer saccharum","G","Du JBM de provenance inconnue"," ","PT","JSOU-E4","1"," "," "," ","Sapindaceae",""
"86","Acer saccharum","Maple",NA,NA,NA,NA,NA,"2188-1998*E","Acer saccharum","Acer saccharum","G","Du JBM de provenance inconnue"," ","PT","JSOU-G2","1"," "," "," ","Sapindaceae",""
"87","Acer saccharum","Maple",NA,NA,NA,NA,NA,"2735-1994*A","Acer saccharum","Acer saccharum","G","Existant au Coin du Québec, sans numéro d'enregistrement"," ","PT","JQUE-1","1"," "," "," ","Sapindaceae",""
"88","Acer saccharum","Maple",NA,NA,NA,NA,NA,"2188-1998*C","Acer saccharum","Acer saccharum","G","Du JBM de provenance inconnue"," ","PT","JSOU-Q7","1"," "," "," ","Sapindaceae",""
"89","Acer saccharum","Maple",NA,NA,NA,NA,NA,"1909-2001*E","Acer saccharum","Acer saccharum","G","Production Terrebonne, Ville de Montréal."," ","PT","JPRE-ERC","1"," "," "," ","Sapindaceae",""
"90","Acer saccharum","Maple",NA,NA,NA,NA,NA,"1410-2006*A","Acer saccharum 'Newton Sentry'","Acer saccharum 'Newton Sentry'","G","Arborvillage Farm Nursery, MO, US"," ","PT","JFRU-12A","1"," "," "," ","Sapindaceae","Newton Sentry'"
"91","Acer saccharum","Maple",NA,NA,NA,NA,NA,"1306-1997*B","Acer saccharum 'Newton Sentry'","Acer saccharum 'Monumentale'","G","Au Jardin de Jean-Pierre enr., Qc"," ","PT","JFRU-19","3"," "," "," ","Sapindaceae","Newton Sentry'"
"92","Acer saccharum","Maple",NA,NA,NA,NA,NA,"1909-2001*D","Acer saccharum","Acer saccharum","G","Production Terrebonne, Ville de Montréal."," ","PT","JPRE-ERC","5"," "," "," ","Sapindaceae",""
"93","Acer saccharum","Maple",NA,NA,NA,NA,NA,"1909-2001*B","Acer saccharum","Acer saccharum","G","Production Terrebonne, Ville de Montréal."," ","PT","JPRE-ALP","1"," "," "," ","Sapindaceae",""
"94","Acer saccharum","Maple",NA,NA,NA,NA,NA,"2188-1998*A","Acer saccharum","Acer saccharum","G","Du JBM de provenance inconnue"," ","PT","JJAP-H3","1"," "," "," ","Sapindaceae",""
"95","Acer saccharum","Maple",NA,NA,NA,NA,NA,"2758-1994*A","Acer saccharum","Acer saccharum","G","Existant au Coin du Québec, sans numéro d'enregistrement"," ","PT","JQUE-4","1"," "," "," ","Sapindaceae",""
"96","Acer saccharum","Maple",NA,NA,NA,NA,NA,"1285-2011*A","Acer saccharum 'Millane's Dwarf'","Acer saccharum 'Millane's Dwarf'","G","Broken Arrow Nursery, Hamden, CT 06518."," ","PT","JFRU-ROC","1"," "," "," ","Sapindaceae","Millane's Dwarf'"
"97","Acer saccharum","Maple",NA,NA,NA,NA,NA,"1909-2001*C","Acer saccharum","Acer saccharum","G","Production Terrebonne, Ville de Montréal."," ","PT","JPRE-ERC","1"," "," "," ","Sapindaceae",""
"98","Acer spicatum","Maple",NA,NA,NA,NA,NA,"2018-2000*C","Acer spicatum","Acer spicatum","G","Pépinière Indigo, QC"," ","PT","JPRE-PES","15"," "," "," ","Sapindaceae",""
"99","Acer spicatum","Maple",NA,NA,NA,NA,NA,"2018-2000*E","Acer spicatum","Acer spicatum","G","Pépinière Indigo, QC"," ","PT","JPRE-PES","5"," "," "," ","Sapindaceae",""
"100","Acer spicatum","Maple",NA,NA,NA,NA,NA,"2018-2000*D","Acer spicatum","Acer spicatum","G","Pépinière Indigo, QC"," ","PT","JPRE-ERS","6"," "," "," ","Sapindaceae",""
"101","Acer spicatum","Maple",NA,NA,NA,NA,NA,"2082-2011*B","Acer spicatum","Acer spicatum","W","JBM - Index Seminum no. 68 (2011)","Canada: Québec: MRC Les Basques: Notre-Dame-des-Neiges, rivière Trois-Pistoles. Forêt feuillue. ca 65 m. 48°4'53.45""N, 69°11'52.35""W. Dumas, S. s.n. 2 Sep 2011.","SD","JPRE-ERS","4"," "," "," ","Sapindaceae",""
"102","Acer spicatum","Maple",NA,NA,NA,NA,NA,"3104-1976*C","Acer spicatum","Acer spicatum","W","Quai de la Rivière Ouelle, Co. Kamouraska N. Cornellier, J.-P. Gousy, F. Poulin","Canada: Québec: Co. Kamouraska: Quai de la Rivière Ouelle. N.Cornellier, F.Poulin, J.P. Gousy s.n. 1 Jul 1976.","SD","JFRU-13NOR","1"," "," "," ","Sapindaceae",""
"103","Acer spicatum","Maple",NA,NA,NA,NA,NA,"2466-1993*A","Acer spicatum","Acer spicatum","G","Pépinières Sheridan, Dorion (Québec)"," ","PT","JCHI-A","1"," "," "," ","Sapindaceae",""
"104","Acer spicatum","Maple",NA,NA,NA,NA,NA,"2018-2000*B","Acer spicatum","Acer spicatum","G","Pépinière Indigo, QC"," ","PT","JPRE-PES","5"," "," "," ","Sapindaceae",""
"105","Acer spicatum","Maple",NA,NA,NA,NA,NA,"2018-2000*A","Acer spicatum","Acer spicatum","G","Pépinière Indigo, QC"," ","PT","JPRE-PES","1"," "," "," ","Sapindaceae",""
"106","Agastache foeniculum","Hyssop",NA,NA,NA,NA,NA,"656-1994*A","Agastache foeniculum","Agastache foeniculum","G","Richters Herbs, Canada"," ","SD","JECO-ARO","mass"," "," "," ","Lamiaceae",""
"107","Agastache foeniculum","Hyssop",NA,NA,NA,NA,NA,"61-2016*B","Agastache foeniculum 'Aurea'","Agastache foeniculum 'Aurea'","G","Gardens North, NS"," ","SD","JECO-ARO","mass"," "," "," ","Lamiaceae","Aurea'"
"108","Agastache foeniculum","Hyssop",NA,NA,NA,NA,NA,"249-2016*A","Agastache foeniculum","Agastache foeniculum","G","Jelitto Perennial Seeds, Germany"," ","SD","JVIV-T1","8"," "," "," ","Lamiaceae",""
"109","Agastache foeniculum","Hyssop",NA,NA,NA,NA,NA,"61-2016*A","Agastache foeniculum 'Aurea'","Agastache foeniculum 'Aurea'","G","Gardens North, NS"," ","SD","JVIV-S1","mass"," "," "," ","Lamiaceae","Aurea'"
"110","Agastache urticifolia","Hyssop",NA,NA,NA,NA,NA,"696-2020*A","Agastache urticifolia","Agastache urticifolia","W","NARGS, USA","United States: Utah: Cache Co. 2743 m. J Mikkelsen s.n. 1 Jul 2019.","SD","JALP-2","5"," "," "," ","Lamiaceae",""
"111","Allium canadense","Onion",NA,NA,NA,NA,NA,"1689-2000*B","Allium canadense","Allium canadense","W","Récolte de Stéphane Bailleul","Canada: Québec: Ile de la Pointe-des-Cascades, Cté Soulange.","BD","JALP-1","mass","v","Frédéric Coursol","17-Jan-07","Amaryllidaceae",""
